Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction
10,"Prophecy of Kings Only",6,"Async","Nomad"," L1Z1X Mindnet"," Arborec"," Emirates of Hacan"," Keleres ~ Mentak"," Vuil'raith Cabal","","","L1Z1X Mindnet"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Nomad"," Universities of Jol-Nar"," L1Z1X Mindnet"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Winnu"," Mentak Coalition"," Federation of Sol"," Arborec"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Argent Flight"," Winnu"," Federation of Sol"," Nomad"," Vuil'raith Cabal","","","Argent Flight"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Winnu"," Federation of Sol"," Mentak Coalition"," Yssaril Tribes"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Nekro Virus"," Embers of Muaat"," Mentak Coalition"," Argent Flight"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Nomad"," Naalu Collective"," Yssaril Tribes"," Xxcha Kingdom"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Keleres ~ Xxcha"," Emirates of Hacan"," L1Z1X Mindnet"," Ghosts of Creuss"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Mahact Gene-Sorcerers"," Nekro Virus"," Yssaril Tribes"," Argent Flight"," Vuil'raith Cabal","","","Nekro Virus"
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," Yin Brotherhood"," Federation of Sol"," Ghosts of Creuss"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Yin Brotherhood"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Federation of Sol"," Barony of Letnev"," Ghosts of Creuss"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Yin Brotherhood"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Naalu Collective"," Argent Flight"," L1Z1X Mindnet"," Federation of Sol"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Yin Brotherhood"," Keleres ~ Argent"," Naaz-Rokha Alliance"," Mentak Coalition"," Vuil'raith Cabal","","","Mentak Coalition"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Nekro Virus"," Titans of Ul"," Xxcha Kingdom"," Argent Flight"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Titans of Ul"," Winnu"," Emirates of Hacan"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Winnu"," Federation of Sol"," Naaz-Rokha Alliance"," Titans of Ul"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Titans of Ul"," Embers of Muaat"," L1Z1X Mindnet"," Xxcha Kingdom"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Federation of Sol"," Nekro Virus"," Mahact Gene-Sorcerers"," Empyrean"," Vuil'raith Cabal","","","Nekro Virus"
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," L1Z1X Mindnet"," Federation of Sol"," Empyrean"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Empyrean"," Titans of Ul"," Clan of Saar"," Naalu Collective"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Embers of Muaat"," Keleres ~ Mentak"," Titans of Ul"," Clan of Saar"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Naalu Collective"," Universities of Jol-Nar"," Keleres ~ Mentak"," Nekro Virus"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Ghosts of Creuss"," Federation of Sol"," Sardakk N'orr"," Naaz-Rokha Alliance"," Embers of Muaat"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Naalu Collective"," Clan of Saar"," Federation of Sol"," Barony of Letnev"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," L1Z1X Mindnet"," Yssaril Tribes"," Ghosts of Creuss"," Clan of Saar"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Yssaril Tribes"," Embers of Muaat"," Emirates of Hacan"," Nomad"," Vuil'raith Cabal","","","Nomad"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Xxcha Kingdom"," Naaz-Rokha Alliance"," Titans of Ul"," Arborec"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Embers of Muaat"," Barony of Letnev"," Emirates of Hacan"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Sardakk N'orr"," Yssaril Tribes"," Clan of Saar"," Argent Flight"," Vuil'raith Cabal","","","Argent Flight"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Mahact Gene-Sorcerers"," Clan of Saar"," Yssaril Tribes"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Barony of Letnev"," Yssaril Tribes"," Titans of Ul"," Federation of Sol"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Barony of Letnev"," Embers of Muaat"," L1Z1X Mindnet"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Mentak Coalition"," Mahact Gene-Sorcerers"," Titans of Ul"," L1Z1X Mindnet"," Vuil'raith Cabal","","","L1Z1X Mindnet"
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," Barony of Letnev"," Arborec"," Mentak Coalition"," Nekro Virus"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Universities of Jol-Nar"," Empyrean"," Mahact Gene-Sorcerers"," Titans of Ul"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Mentak Coalition"," Titans of Ul"," Nomad"," Federation of Sol"," Vuil'raith Cabal","","","Nomad"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Ghosts of Creuss"," Barony of Letnev"," Universities of Jol-Nar"," Clan of Saar"," Vuil'raith Cabal","","","Ghosts of Creuss"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Federation of Sol"," Mahact Gene-Sorcerers"," Keleres ~ Mentak"," Embers of Muaat"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Ghosts of Creuss"," L1Z1X Mindnet"," Naaz-Rokha Alliance"," Nekro Virus"," Vuil'raith Cabal","","","Mentak Coalition"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Keleres ~ Mentak"," Yin Brotherhood"," Titans of Ul"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Emirates of Hacan"," Ghosts of Creuss"," Mahact Gene-Sorcerers"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Yssaril Tribes"," Embers of Muaat"," Clan of Saar"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Naaz-Rokha Alliance"," Keleres ~ Mentak"," Nekro Virus"," Clan of Saar"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Empyrean"," Embers of Muaat"," Yssaril Tribes"," Nekro Virus"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Yssaril Tribes"," Yin Brotherhood"," Nekro Virus"," Ghosts of Creuss"," Vuil'raith Cabal","","","Nekro Virus"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Clan of Saar"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Federation of Sol"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Arborec"," Mentak Coalition"," Mahact Gene-Sorcerers"," Federation of Sol"," Vuil'raith Cabal","","","Sardakk N'orr"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Arborec"," Yssaril Tribes"," Mahact Gene-Sorcerers"," Nekro Virus"," Vuil'raith Cabal","","","Argent Flight"
10,"Prophecy of Kings Only",6,"Async","Yssaril Tribes"," Universities of Jol-Nar"," Emirates of Hacan"," Xxcha Kingdom"," Nomad"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Ghosts of Creuss"," Keleres ~ Argent"," Emirates of Hacan"," Nomad"," Yssaril Tribes"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Argent Flight"," Emirates of Hacan"," Keleres ~ Mentak"," Barony of Letnev"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Nekro Virus"," Mahact Gene-Sorcerers"," Winnu"," Yssaril Tribes"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Barony of Letnev"," Mahact Gene-Sorcerers"," Naaz-Rokha Alliance"," Emirates of Hacan"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Ghosts of Creuss"," Winnu"," Mahact Gene-Sorcerers"," Argent Flight"," Vuil'raith Cabal","","","Argent Flight"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Nekro Virus"," Keleres ~ Mentak"," Sardakk N'orr"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Nekro Virus"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Embers of Muaat"," Naaz-Rokha Alliance"," Clan of Saar"," Titans of Ul"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Yssaril Tribes"," Clan of Saar"," Arborec"," Titans of Ul"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Naalu Collective"," Clan of Saar"," Ghosts of Creuss"," Argent Flight"," Vuil'raith Cabal","","","Ghosts of Creuss"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Yin Brotherhood"," Federation of Sol"," Nomad"," Clan of Saar"," Vuil'raith Cabal","","","Federation of Sol"
10,"Prophecy of Kings Only",6,"Async","Nomad"," Nekro Virus"," Barony of Letnev"," Mentak Coalition"," Emirates of Hacan"," Vuil'raith Cabal","","","Mentak Coalition"
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," Empyrean"," Ghosts of Creuss"," Embers of Muaat"," Federation of Sol"," Vuil'raith Cabal","","","Embers of Muaat"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Federation of Sol"," Titans of Ul"," Universities of Jol-Nar"," Xxcha Kingdom"," Vuil'raith Cabal","","","Federation of Sol"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Embers of Muaat"," Argent Flight"," Clan of Saar"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Winnu"," Embers of Muaat"," Keleres ~ Mentak"," Mahact Gene-Sorcerers"," Ghosts of Creuss"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Empyrean"," Yin Brotherhood"," Yssaril Tribes"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Empyrean"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Xxcha Kingdom"," Barony of Letnev"," Embers of Muaat"," Nomad"," Vuil'raith Cabal","","","Xxcha Kingdom"
10,"Prophecy of Kings Only",6,"Async","Winnu"," Yssaril Tribes"," Keleres ~ Mentak"," Emirates of Hacan"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Barony of Letnev"," Naalu Collective"," Keleres ~ Mentak"," Nomad"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Titans of Ul"," Nekro Virus"," Empyrean"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Nekro Virus"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Federation of Sol"," Xxcha Kingdom"," Keleres ~ Mentak"," Sardakk N'orr"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Ghosts of Creuss"," Barony of Letnev"," Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Emirates of Hacan"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Xxcha Kingdom"," Winnu"," Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Winnu"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Yin Brotherhood"," Empyrean"," Mentak Coalition"," Emirates of Hacan"," Vuil'raith Cabal","","","Empyrean"
10,"Prophecy of Kings Only",6,"Async","Arborec"," Winnu"," Nomad"," Naalu Collective"," Yssaril Tribes"," Vuil'raith Cabal","","","Nomad"
10,"Prophecy of Kings Only",6,"Async","Keleres ~ Xxcha"," Federation of Sol"," Yssaril Tribes"," Titans of Ul"," Naalu Collective"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Winnu"," Federation of Sol"," Ghosts of Creuss"," Yin Brotherhood"," Embers of Muaat"," Vuil'raith Cabal","","","Winnu"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Winnu"," Universities of Jol-Nar"," Arborec"," Nomad"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Nomad"," Yin Brotherhood"," Embers of Muaat"," Nekro Virus"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Nomad"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Nekro Virus"," Federation of Sol"," Keleres ~ Xxcha"," Empyrean"," Vuil'raith Cabal","","","Keleres ~ Xxcha"
10,"Prophecy of Kings Only",6,"Async","Ghosts of Creuss"," L1Z1X Mindnet"," Yssaril Tribes"," Naalu Collective"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," L1Z1X Mindnet"," Argent Flight"," Embers of Muaat"," Xxcha Kingdom"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Emirates of Hacan"," Empyrean"," Nekro Virus"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Argent Flight"," Federation of Sol"," Mahact Gene-Sorcerers"," Mentak Coalition"," Vuil'raith Cabal","","","Sardakk N'orr"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Arborec"," Winnu"," Barony of Letnev"," Yin Brotherhood"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Sardakk N'orr"," Keleres ~ Mentak"," Naalu Collective"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Keleres ~ Mentak"," L1Z1X Mindnet"," Yssaril Tribes"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Federation of Sol"
10,"Prophecy of Kings Only",6,"Async","Arborec"," Barony of Letnev"," Embers of Muaat"," Sardakk N'orr"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Embers of Muaat"
10,"Prophecy of Kings Only",6,"Async","Nomad"," Emirates of Hacan"," Federation of Sol"," Keleres ~ Mentak"," Embers of Muaat"," Vuil'raith Cabal","","","Emirates of Hacan"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Winnu"," Naalu Collective"," Naaz-Rokha Alliance"," Yin Brotherhood"," Vuil'raith Cabal","","","Winnu"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Arborec"," Nekro Virus"," Argent Flight"," Embers of Muaat"," Vuil'raith Cabal","","","Arborec"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," L1Z1X Mindnet"," Mahact Gene-Sorcerers"," Yin Brotherhood"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Xxcha Kingdom"," Titans of Ul"," Barony of Letnev"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Barony of Letnev"," Mahact Gene-Sorcerers"," Universities of Jol-Nar"," Titans of Ul"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Titans of Ul"," Xxcha Kingdom"," L1Z1X Mindnet"," Clan of Saar"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Clan of Saar"," Xxcha Kingdom"," Keleres ~ Mentak"," Arborec"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Keleres ~ Mentak"," Nomad"," Titans of Ul"," Ghosts of Creuss"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Nomad"," Empyrean"," Universities of Jol-Nar"," Yssaril Tribes"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Yssaril Tribes"," Naaz-Rokha Alliance"," Nomad"," Winnu"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Arborec"," Mahact Gene-Sorcerers"," Universities of Jol-Nar"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Nomad"," Federation of Sol"," Yssaril Tribes"," Argent Flight"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Keleres ~ Argent"," Nomad"," Clan of Saar"," Nekro Virus"," Vuil'raith Cabal","","","Naalu Collective"
10,"Prophecy of Kings Only",6,"Async","Arborec"," Yin Brotherhood"," Embers of Muaat"," Naaz-Rokha Alliance"," Yssaril Tribes"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Winnu"," Titans of Ul"," Mahact Gene-Sorcerers"," Embers of Muaat"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Empyrean"," Yssaril Tribes"," Ghosts of Creuss"," L1Z1X Mindnet"," Vuil'raith Cabal","","","L1Z1X Mindnet"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Federation of Sol"," Embers of Muaat"," Yssaril Tribes"," Nomad"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Embers of Muaat"," Yin Brotherhood"," Naaz-Rokha Alliance"," Emirates of Hacan"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Barony of Letnev"," Ghosts of Creuss"," Empyrean"," Clan of Saar"," Vuil'raith Cabal","","","Empyrean"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Nomad"," Empyrean"," Titans of Ul"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Titans of Ul"," Mentak Coalition"," L1Z1X Mindnet"," Argent Flight"," Vuil'raith Cabal","","","Argent Flight"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Barony of Letnev"," Arborec"," Ghosts of Creuss"," Xxcha Kingdom"," Vuil'raith Cabal","","","Ghosts of Creuss"
10,"Prophecy of Kings Only",6,"Async","Keleres ~ Mentak"," Nomad"," Federation of Sol"," Universities of Jol-Nar"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Yin Brotherhood"," Embers of Muaat"," Emirates of Hacan"," Titans of Ul"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Titans of Ul"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Empyrean"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Universities of Jol-Nar"," Sardakk N'orr"," Embers of Muaat"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Vuil'raith Cabal","","","Universities of Jol-Nar"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Titans of Ul"," L1Z1X Mindnet"," Barony of Letnev"," Federation of Sol"," Vuil'raith Cabal","","","L1Z1X Mindnet"
10,"Prophecy of Kings Only",6,"Async","Naalu Collective"," Empyrean"," Titans of Ul"," Clan of Saar"," Yssaril Tribes"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Winnu"," Titans of Ul"," Clan of Saar"," Arborec"," Nomad"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Sardakk N'orr"," L1Z1X Mindnet"," Keleres ~ Mentak"," Nomad"," Vuil'raith Cabal","","","Sardakk N'orr"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Clan of Saar"," Arborec"," Keleres ~ Mentak"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Keleres ~ Mentak"
10,"Prophecy of Kings Only",6,"Async","Mahact Gene-Sorcerers"," Clan of Saar"," Arborec"," Sardakk N'orr"," Federation of Sol"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Universities of Jol-Nar"," Mahact Gene-Sorcerers"," Xxcha Kingdom"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Clan of Saar"," Yssaril Tribes"," Mentak Coalition"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Emirates of Hacan"," Yssaril Tribes"," Arborec"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Yssaril Tribes"
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Nomad"," Emirates of Hacan"," Naalu Collective"," Nekro Virus"," Vuil'raith Cabal","","","Nomad"
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Winnu"," Naaz-Rokha Alliance"," Argent Flight"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Argent Flight"," Clan of Saar"," Barony of Letnev"," Nomad"," Vuil'raith Cabal","","","Clan of Saar"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Yin Brotherhood"," Ghosts of Creuss"," Mentak Coalition"," Nekro Virus"," Vuil'raith Cabal","","","Yin Brotherhood"
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Yssaril Tribes"," Naaz-Rokha Alliance"," Yin Brotherhood"," Embers of Muaat"," Vuil'raith Cabal","","","Naaz-Rokha Alliance"
10,"Prophecy of Kings Only",6,"Async","Nekro Virus"," Yin Brotherhood"," Federation of Sol"," Mahact Gene-Sorcerers"," Titans of Ul"," Vuil'raith Cabal","","","Vuil'raith Cabal"
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Yssaril Tribes"," Naaz-Rokha Alliance"," Argent Flight"," Mentak Coalition"," Vuil'raith Cabal","","","Titans of Ul"
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Titans of Ul"," Mahact Gene-Sorcerers"," Naalu Collective"," Federation of Sol"," Vuil'raith Cabal","","","Federation of Sol"
